school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,student_id,school_enc,sex_enc,address_enc,famsize_enc,Pstatus_enc,Mjob_enc,Fjob_enc,reason_enc,guardian_enc,avg_grade,performance_class
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,Math,1,0,0,1,1,0,0,4,0,1,5.666666666666667,At-Risk
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,Math,2,0,0,1,1,1,0,2,0,0,5.333333333333333,At-Risk
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,Math,3,0,0,1,0,1,0,2,2,1,8.333333333333334,Average
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,Math,4,0,0,1,1,1,1,3,1,1,14.666666666666666,High
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,Math,5,0,0,1,1,1,2,2,1,0,8.666666666666666,Average
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,Math,6,0,1,1,0,1,3,2,3,1,15.0,High
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,Math,7,0,1,1,0,1,2,2,1,1,11.666666666666666,Average
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,Math,8,0,0,1,1,0,2,4,1,1,5.666666666666667,At-Risk
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,Math,9,0,1,1,0,0,3,2,1,1,17.666666666666668,High
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,Math,10,0,1,1,1,1,2,2,1,1,14.666666666666666,High
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,Math,11,0,0,1,1,1,4,1,3,1,9.0,At-Risk
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,Math,12,0,0,1,1,1,3,2,3,0,11.333333333333334,Average
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,Math,13,0,1,1,0,1,1,3,0,0,14.0,Average
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,Math,14,0,1,1,1,1,4,2,0,1,10.333333333333334,Average
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,Math,15,0,1,1,1,0,2,2,1,2,15.333333333333334,High
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,Math,16,0,0,1,1,1,1,2,1,1,14.0,Average
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,Math,17,0,0,1,1,1,3,3,3,1,13.666666666666666,Average
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,Math,18,0,0,1,1,1,2,2,3,1,9.333333333333334,Average
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,Math,19,0,1,1,1,1,3,3,0,1,5.333333333333333,At-Risk
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,Math,20,0,1,1,0,1,1,2,1,0,9.333333333333334,Average
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,Math,21,0,1,1,1,1,4,2,3,1,14.0,High
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,Math,22,0,1,1,1,1,1,1,2,0,14.0,High
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,Math,23,0,1,1,0,1,4,2,0,1,15.333333333333334,High
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,Math,24,0,1,1,0,1,2,2,3,1,12.666666666666666,Average
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,Math,25,0,0,0,1,1,3,1,0,1,9.0,At-Risk
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,Math,26,0,0,1,1,1,3,3,1,1,7.666666666666667,At-Risk
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,Math,27,0,1,1,1,1,2,2,1,1,11.666666666666666,Average
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,Math,28,0,1,1,1,1,1,3,2,1,15.333333333333334,High
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,Math,29,0,1,1,0,0,3,2,1,1,11.0,Average
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,Math,30,0,1,1,1,1,4,4,1,1,11.0,Average
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,Math,31,0,1,1,1,1,1,3,1,1,10.666666666666666,Average
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,Math,32,0,1,1,1,1,3,3,3,1,16.666666666666668,High
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,Math,33,0,1,0,1,1,4,0,0,1,16.333333333333332,High
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,Math,34,0,1,1,0,1,2,2,0,1,10.0,Average
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,Math,35,0,1,1,1,1,2,2,1,1,13.666666666666666,High
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,Math,36,0,0,1,1,1,2,2,2,0,7.0,At-Risk
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,Math,37,0,1,1,0,1,4,3,1,1,16.333333333333332,High
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,Math,38,0,1,0,1,0,2,4,3,1,15.333333333333334,High
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,Math,39,0,0,0,1,1,3,1,0,1,11.666666666666666,Average
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,Math,40,0,0,0,1,1,0,2,3,1,13.333333333333334,Average
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,Math,41,0,0,1,0,1,2,2,1,1,9.333333333333334,Average
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,Math,42,0,1,1,0,1,4,2,1,2,12.0,Average
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,Math,43,0,1,1,1,1,3,4,0,0,18.333333333333332,High
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,Math,44,0,1,1,1,1,3,3,0,0,9.0,Average
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,Math,45,0,0,1,0,1,2,0,0,0,9.666666666666666,At-Risk
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,Math,46,0,0,1,0,0,2,2,0,1,7.333333333333333,At-Risk
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,Math,47,0,0,1,0,0,2,3,1,1,11.333333333333334,Average
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,Math,48,0,1,1,1,1,1,3,3,1,19.333333333333332,High
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,Math,49,0,1,1,1,1,4,2,1,1,14.666666666666666,Average
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,Math,50,0,0,1,1,1,3,4,2,0,7.0,At-Risk
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,Math,51,0,0,1,0,1,3,3,0,1,12.666666666666666,Average
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,Math,52,0,0,1,0,1,1,2,2,1,12.333333333333334,Average
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,Math,53,0,1,1,0,0,1,1,2,0,10.666666666666666,Average
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,Math,54,0,0,1,1,1,3,3,0,1,9.666666666666666,Average
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,Math,55,0,0,1,0,0,2,2,2,1,12.0,Average
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,Math,56,0,0,1,1,0,2,2,2,1,9.0,Average
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,Math,57,0,0,1,1,0,3,3,3,1,14.666666666666666,High
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,Math,58,0,1,1,1,1,4,1,3,1,14.666666666666666,High
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,Math,59,0,1,1,0,1,2,0,1,0,9.333333333333334,At-Risk
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,Math,60,0,0,1,1,1,3,2,0,1,15.666666666666666,High
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,Math,61,0,0,0,1,1,1,4,2,1,10.666666666666666,Average
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,Math,62,0,0,1,1,1,3,3,0,0,9.666666666666666,Average
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,Math,63,0,0,1,0,1,2,3,3,0,9.0,At-Risk
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,Math,64,0,0,1,1,1,4,1,1,1,9.333333333333334,At-Risk
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,Math,65,0,0,1,0,1,3,3,3,0,10.0,Average
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,Math,66,0,0,1,0,1,4,3,0,1,15.333333333333334,High
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,Math,67,0,1,1,1,0,2,3,3,1,12.666666666666666,Average
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,Math,68,0,0,1,1,1,3,2,0,1,6.666666666666667,At-Risk
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,Math,69,0,0,0,0,1,1,3,3,1,8.333333333333334,At-Risk
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,Math,70,0,0,0,0,1,2,2,3,0,16.0,High
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,Math,71,0,1,1,1,1,2,2,3,0,14.333333333333334,High
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,Math,72,0,1,1,1,1,2,2,0,1,10.0,Average
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,Math,73,0,0,0,1,1,2,2,3,1,6.333333333333333,At-Risk
