student_id,Cluster,cluster_label
1,1,Average
2,1,Average
3,0,At-Risk
4,2,High Performer
5,1,Average
6,2,High Performer
7,1,Average
8,1,Average
9,2,High Performer
10,2,High Performer
11,2,High Performer
12,1,Average
13,2,High Performer
14,2,High Performer
15,2,High Performer
16,2,High Performer
17,2,High Performer
18,1,Average
19,0,At-Risk
20,2,High Performer
21,2,High Performer
22,2,High Performer
23,2,High Performer
24,2,High Performer
25,2,High Performer
26,0,At-Risk
27,1,Average
28,2,High Performer
29,2,High Performer
30,0,At-Risk
31,2,High Performer
32,2,High Performer
33,2,High Performer
34,1,Average
35,2,High Performer
36,1,Average
37,2,High Performer
38,2,High Performer
39,2,High Performer
40,1,Average
41,1,Average
42,2,High Performer
43,2,High Performer
44,1,Average
45,0,At-Risk
46,2,High Performer
47,2,High Performer
48,2,High Performer
49,2,High Performer
50,2,High Performer
51,1,Average
52,2,High Performer
53,0,At-Risk
54,2,High Performer
55,0,At-Risk
56,1,Average
57,2,High Performer
58,2,High Performer
59,1,Average
60,2,High Performer
61,2,High Performer
62,0,At-Risk
63,1,Average
64,2,High Performer
65,2,High Performer
66,2,High Performer
67,2,High Performer
68,1,Average
69,1,Average
70,2,High Performer
71,2,High Performer
72,2,High Performer
73,0,At-Risk
74,1,Average
75,0,At-Risk
76,2,High Performer
77,1,Average
78,1,Average
79,0,At-Risk
80,1,Average
81,1,Average
82,1,Average
83,1,Average
84,2,High Performer
85,1,Average
86,0,At-Risk
87,1,Average
88,2,High Performer
89,1,Average
90,0,At-Risk
91,1,Average
92,2,High Performer
93,1,Average
94,2,High Performer
95,1,Average
96,1,Average
97,2,High Performer
98,1,Average
99,2,High Performer
100,2,High Performer
101,0,At-Risk
102,2,High Performer
103,2,High Performer
104,1,Average
105,2,High Performer
106,1,Average
107,1,Average
108,2,High Performer
109,2,High Performer
110,2,High Performer
111,2,High Performer
112,1,Average
113,1,Average
114,2,High Performer
115,1,Average
116,2,High Performer
117,2,High Performer
118,2,High Performer
119,0,At-Risk
120,2,High Performer
121,1,Average
122,2,High Performer
123,2,High Performer
124,2,High Performer
125,1,Average
126,2,High Performer
127,2,High Performer
128,0,At-Risk
129,0,At-Risk
130,2,High Performer
131,1,Average
132,1,Average
133,0,At-Risk
134,2,High Performer
135,1,Average
136,2,High Performer
137,0,At-Risk
138,0,At-Risk
139,1,Average
140,2,High Performer
141,2,High Performer
142,0,At-Risk
143,2,High Performer
144,1,Average
145,0,At-Risk
146,1,Average
147,1,Average
148,1,Average
149,0,At-Risk
150,0,At-Risk
151,0,At-Risk
152,0,At-Risk
153,1,Average
154,0,At-Risk
155,2,High Performer
156,1,Average
157,1,Average
158,0,At-Risk
159,1,Average
160,0,At-Risk
161,0,At-Risk
162,0,At-Risk
163,0,At-Risk
164,0,At-Risk
165,0,At-Risk
166,1,Average
167,0,At-Risk
168,2,High Performer
169,1,Average
170,2,High Performer
171,0,At-Risk
172,1,Average
173,2,High Performer
174,0,At-Risk
175,2,High Performer
176,0,At-Risk
177,2,High Performer
178,0,At-Risk
179,0,At-Risk
180,2,High Performer
181,2,High Performer
182,2,High Performer
183,2,High Performer
184,0,At-Risk
185,2,High Performer
186,2,High Performer
187,1,Average
188,1,Average
189,1,Average
190,1,Average
191,1,Average
192,1,Average
193,0,At-Risk
194,0,At-Risk
195,2,High Performer
196,2,High Performer
197,2,High Performer
198,0,At-Risk
199,2,High Performer
200,2,High Performer
201,2,High Performer
202,1,Average
203,1,Average
204,1,Average
205,1,Average
206,0,At-Risk
207,0,At-Risk
208,2,High Performer
209,1,Average
210,2,High Performer
211,1,Average
212,0,At-Risk
213,1,Average
214,0,At-Risk
215,1,Average
216,2,High Performer
217,0,At-Risk
218,0,At-Risk
219,1,Average
220,1,Average
221,1,Average
222,1,Average
223,2,High Performer
224,0,At-Risk
225,2,High Performer
226,1,Average
227,2,High Performer
228,2,High Performer
229,0,At-Risk
230,1,Average
231,2,High Performer
232,1,Average
233,2,High Performer
234,2,High Performer
235,1,Average
236,1,Average
237,0,At-Risk
238,1,Average
239,1,Average
240,0,At-Risk
241,2,High Performer
242,2,High Performer
243,0,At-Risk
244,2,High Performer
245,1,Average
246,2,High Performer
247,1,Average
248,0,At-Risk
249,0,At-Risk
250,1,Average
251,0,At-Risk
252,1,Average
253,0,At-Risk
254,1,Average
255,0,At-Risk
256,0,At-Risk
257,2,High Performer
258,2,High Performer
259,1,Average
260,1,Average
261,2,High Performer
262,2,High Performer
263,1,Average
264,1,Average
265,1,Average
266,2,High Performer
267,0,At-Risk
268,2,High Performer
269,0,At-Risk
270,0,At-Risk
271,0,At-Risk
272,2,High Performer
273,1,Average
274,1,Average
275,2,High Performer
276,0,At-Risk
277,0,At-Risk
278,0,At-Risk
279,2,High Performer
280,2,High Performer
281,0,At-Risk
282,0,At-Risk
283,1,Average
284,1,Average
285,1,Average
286,1,Average
287,2,High Performer
288,1,Average
289,1,Average
290,2,High Performer
291,2,High Performer
292,2,High Performer
293,1,Average
294,1,Average
295,2,High Performer
296,2,High Performer
297,2,High Performer
298,2,High Performer
299,2,High Performer
300,2,High Performer
301,2,High Performer
302,2,High Performer
303,2,High Performer
304,2,High Performer
305,2,High Performer
306,2,High Performer
307,2,High Performer
308,0,At-Risk
309,2,High Performer
310,0,At-Risk
311,1,Average
312,1,Average
313,1,Average
314,1,Average
315,1,Average
316,1,Average
