student_id,G1,G2,G3,absences,failures,cluster_label,performance_class,urgency,intervention,risk_factor_count
1,5,6,6,6,0,Average,At-Risk,Medium,Early exam preparation support,1
2,5,5,6,4,0,Average,At-Risk,Medium,Early exam preparation support | Family engagement program,2
3,7,8,10,10,3,At-Risk,Average,High,Priority academic counseling | Remedial tutoring program | Family engagement program,2
4,15,14,15,2,0,High Performer,High,Low,Standard monitoring,0
5,6,10,10,4,0,Average,Average,Low,Standard monitoring,0
6,15,15,15,10,0,High Performer,High,Low,Standard monitoring,0
7,12,12,11,0,0,Average,Average,Low,Standard monitoring,0
8,6,5,6,6,0,Average,At-Risk,Medium,Early exam preparation support | Health & wellbeing referral,2
9,16,18,19,0,0,High Performer,High,Medium,Health & wellbeing referral,1
10,14,15,15,0,0,High Performer,High,Low,Standard monitoring,0
11,10,8,9,0,0,High Performer,At-Risk,Medium,Health & wellbeing referral,1
12,10,12,12,4,0,Average,Average,Low,Standard monitoring,0
13,14,14,14,2,0,High Performer,Average,Medium,Study skills workshop,1
14,10,10,11,2,0,High Performer,Average,Low,Standard monitoring,0
15,14,16,16,0,0,High Performer,High,Low,Standard monitoring,0
16,14,14,14,4,0,High Performer,Average,Medium,Study skills workshop | Health & wellbeing referral,2
17,13,14,14,6,0,High Performer,Average,Medium,Health & wellbeing referral,1
18,8,10,10,4,0,Average,Average,Low,Standard monitoring,0
19,6,5,5,16,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program | Early exam preparation support,5
20,8,10,10,4,0,High Performer,Average,Medium,Study skills workshop,1
21,13,14,15,0,0,High Performer,High,Medium,Health & wellbeing referral,1
22,12,15,15,0,0,High Performer,High,Medium,Study skills workshop,1
23,15,15,16,2,0,High Performer,High,Low,Standard monitoring,0
24,13,13,12,0,0,High Performer,Average,Medium,Wellness & substance awareness program,1
25,10,9,8,2,0,High Performer,At-Risk,Low,Standard monitoring,0
26,6,9,8,14,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop,2
27,12,12,11,2,0,Average,Average,Medium,Study skills workshop,1
28,15,16,15,4,0,High Performer,High,High,Study skills workshop | Wellness & substance awareness program | Health & wellbeing referral,3
29,11,11,11,4,0,High Performer,Average,Low,Standard monitoring,0
30,10,12,11,16,0,At-Risk,Average,High,Priority academic counseling | Attendance counseling + parent contact | Wellness & substance awareness program,2
31,9,11,12,0,0,High Performer,Average,Medium,Wellness & substance awareness program,1
32,17,16,17,0,0,High Performer,High,Low,Standard monitoring,0
33,17,16,16,0,0,High Performer,High,Low,Standard monitoring,0
34,8,10,12,0,0,Average,Average,Medium,Health & wellbeing referral,1
35,12,14,15,0,0,High Performer,High,Medium,Study skills workshop,1
36,8,7,6,0,0,Average,At-Risk,Medium,Study skills workshop,1
37,15,16,18,2,0,High Performer,High,Low,Standard monitoring,0
38,15,16,15,7,0,High Performer,High,Low,Standard monitoring,0
39,12,12,11,2,0,High Performer,Average,Low,Standard monitoring,0
40,14,13,13,8,0,Average,Average,Medium,Study skills workshop | Health & wellbeing referral,2
41,7,10,11,25,1,Average,Average,Medium,Attendance counseling + parent contact,1
42,12,12,12,8,0,High Performer,Average,Medium,Study skills workshop | Wellness & substance awareness program,2
43,19,18,18,2,0,High Performer,High,Low,Standard monitoring,0
44,8,8,11,0,0,Average,Average,Medium,Study skills workshop | Health & wellbeing referral,2
45,10,10,9,14,1,At-Risk,At-Risk,High,Priority academic counseling,0
46,8,8,6,8,0,High Performer,At-Risk,Low,Standard monitoring,0
47,11,12,11,12,0,High Performer,Average,Medium,Wellness & substance awareness program,1
48,19,19,20,4,0,High Performer,High,Medium,Health & wellbeing referral,1
49,15,15,14,2,0,High Performer,Average,Low,Standard monitoring,0
50,7,7,7,2,1,High Performer,At-Risk,Medium,Early exam preparation support,1
51,12,13,13,2,0,Average,Average,Low,Standard monitoring,0
52,11,13,13,2,0,High Performer,Average,Low,Standard monitoring,0
53,11,11,10,6,1,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
54,8,10,11,0,0,High Performer,Average,Medium,Study skills workshop,1
55,10,13,13,6,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program | Health & wellbeing referral,3
56,8,9,10,8,0,Average,Average,Medium,Health & wellbeing referral,1
57,14,15,15,0,0,High Performer,High,Medium,Health & wellbeing referral,1
58,14,15,15,4,0,High Performer,High,Low,Standard monitoring,0
59,9,10,9,2,0,Average,At-Risk,Low,Standard monitoring,0
60,15,16,16,2,0,High Performer,High,Low,Standard monitoring,0
61,10,11,11,6,0,High Performer,Average,Low,Standard monitoring,0
62,10,8,11,6,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program | Family engagement program,3
63,8,10,9,4,0,Average,At-Risk,Medium,Health & wellbeing referral,1
64,10,9,9,2,0,High Performer,At-Risk,Medium,Wellness & substance awareness program,1
65,10,10,10,0,0,High Performer,Average,Medium,Wellness & substance awareness program | Health & wellbeing referral,2
66,16,15,15,2,0,High Performer,High,Medium,Health & wellbeing referral,1
67,13,13,12,4,0,High Performer,Average,Medium,Wellness & substance awareness program,1
68,7,7,6,4,0,Average,At-Risk,Medium,Early exam preparation support,1
69,8,9,8,2,0,Average,At-Risk,Low,Standard monitoring,0
70,16,16,16,12,0,High Performer,High,Low,Standard monitoring,0
71,13,15,15,0,0,High Performer,High,Low,Standard monitoring,0
72,10,10,10,0,0,High Performer,Average,Low,Standard monitoring,0
73,8,6,5,2,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Wellness & substance awareness program | Family engagement program,3
74,12,12,14,2,0,Average,Average,Medium,Study skills workshop,1
75,11,12,11,54,0,At-Risk,Average,High,Priority academic counseling | Attendance counseling + parent contact | Wellness & substance awareness program,2
76,9,9,10,6,0,High Performer,Average,Low,Standard monitoring,0
77,11,11,10,8,0,Average,Average,Medium,Health & wellbeing referral,1
78,11,11,11,0,0,Average,Average,Low,Standard monitoring,0
79,8,8,10,2,3,At-Risk,Average,High,Priority academic counseling | Remedial tutoring program | Study skills workshop,2
80,5,5,5,12,0,Average,At-Risk,Medium,Early exam preparation support,1
81,10,12,12,2,0,Average,Average,Medium,Study skills workshop,1
82,11,10,11,4,0,Average,Average,Low,Standard monitoring,0
83,7,6,6,10,0,Average,At-Risk,Medium,Early exam preparation support,1
84,15,15,15,4,0,High Performer,High,Low,Standard monitoring,0
85,9,10,10,2,0,Average,Average,Medium,Family engagement program,1
86,7,9,8,6,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program,1
87,8,7,6,4,0,Average,At-Risk,Medium,Health & wellbeing referral,1
88,13,14,14,4,0,High Performer,Average,Medium,Health & wellbeing referral,1
89,11,10,10,12,1,Average,Average,Low,Standard monitoring,0
90,8,6,7,18,0,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Wellness & substance awareness program,2
91,7,7,8,0,0,Average,At-Risk,Medium,Early exam preparation support,1
92,16,17,18,4,0,High Performer,High,Medium,Study skills workshop | Health & wellbeing referral,2
93,7,6,6,4,0,Average,At-Risk,Medium,Early exam preparation support | Health & wellbeing referral,2
94,11,10,10,0,0,High Performer,Average,Medium,Health & wellbeing referral,1
95,11,13,14,6,0,Average,Average,Low,Standard monitoring,0
96,7,10,10,2,1,Average,Average,Medium,Health & wellbeing referral | Family engagement program,2
97,11,15,15,2,0,High Performer,High,Medium,Study skills workshop,1
98,8,9,10,2,0,Average,Average,Low,Standard monitoring,0
99,11,14,14,6,0,High Performer,Average,Medium,Study skills workshop | Health & wellbeing referral,2
100,7,9,8,0,0,High Performer,At-Risk,Low,Standard monitoring,0
101,7,7,5,14,0,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program | Early exam preparation support,3
102,16,17,17,0,0,High Performer,High,Low,Standard monitoring,0
103,10,13,14,4,0,High Performer,Average,Medium,Study skills workshop,1
104,7,6,6,26,0,Average,At-Risk,High,Attendance counseling + parent contact | Early exam preparation support | Health & wellbeing referral,3
105,16,18,18,0,0,High Performer,High,Medium,Health & wellbeing referral,1
106,10,11,11,10,0,Average,Average,Low,Standard monitoring,0
107,7,8,8,8,0,Average,At-Risk,Low,Standard monitoring,0
108,16,18,18,2,0,High Performer,High,Low,Standard monitoring,0
109,10,13,13,6,0,High Performer,Average,Medium,Wellness & substance awareness program | Health & wellbeing referral,2
110,14,15,16,4,0,High Performer,High,Low,Standard monitoring,0
111,18,19,19,6,0,High Performer,High,Medium,Study skills workshop,1
112,7,10,10,0,1,Average,Average,Medium,Health & wellbeing referral,1
113,10,13,13,6,1,Average,Average,Low,Standard monitoring,0
114,18,19,19,10,0,High Performer,High,Medium,Study skills workshop,1
115,9,9,9,8,0,Average,At-Risk,Low,Standard monitoring,0
116,15,15,16,2,0,High Performer,High,Low,Standard monitoring,0
117,11,13,14,2,0,High Performer,Average,Medium,Health & wellbeing referral,1
118,13,14,13,0,0,High Performer,Average,Medium,Study skills workshop,1
119,9,7,8,20,1,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Wellness & substance awareness program,2
120,14,13,13,6,0,High Performer,Average,Medium,Study skills workshop,1
121,16,15,15,2,0,Average,High,Medium,Health & wellbeing referral,1
122,16,14,15,6,0,High Performer,High,Low,Standard monitoring,0
123,13,13,13,2,0,High Performer,Average,Low,Standard monitoring,0
124,14,11,13,18,0,High Performer,Average,High,Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program,3
125,8,7,8,0,0,Average,At-Risk,Low,Standard monitoring,0
126,13,13,12,0,0,High Performer,Average,Medium,Study skills workshop,1
127,7,10,11,0,0,High Performer,Average,Medium,Health & wellbeing referral,1
128,7,8,9,2,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Family engagement program,2
129,7,4,0,0,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Early exam preparation support,3
130,18,18,18,8,0,High Performer,High,Medium,Study skills workshop | Wellness & substance awareness program,2
131,12,0,0,0,2,Average,At-Risk,Medium,Remedial tutoring program,1
132,8,0,0,0,0,Average,At-Risk,Medium,Study skills workshop | Family engagement program,2
133,10,13,12,12,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop,1
134,12,11,11,16,0,High Performer,Average,High,Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program,3
135,9,0,0,0,0,Average,At-Risk,Low,Standard monitoring,0
136,11,0,0,0,0,High Performer,At-Risk,Low,Standard monitoring,0
137,10,0,0,0,0,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program,1
138,4,0,0,0,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Early exam preparation support,3
139,14,12,12,0,1,Average,Average,Medium,Family engagement program,1
140,16,16,15,0,0,High Performer,High,Medium,Study skills workshop,1
141,7,9,0,0,0,High Performer,At-Risk,Low,Standard monitoring,0
142,9,9,9,8,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Health & wellbeing referral,3
143,9,11,11,2,0,High Performer,Average,Low,Standard monitoring,0
144,14,14,13,2,0,Average,Average,High,Study skills workshop | Health & wellbeing referral | Family engagement program,3
145,5,0,0,0,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Early exam preparation support,3
146,8,11,11,0,0,Average,Average,Medium,Family engagement program,1
147,6,7,0,0,3,Average,At-Risk,Medium,Remedial tutoring program | Early exam preparation support,2
148,10,11,11,2,0,Average,Average,Low,Standard monitoring,0
149,7,6,0,0,0,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Early exam preparation support,2
150,8,9,10,0,3,At-Risk,Average,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Wellness & substance awareness program,3
151,6,5,0,0,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Wellness & substance awareness program | Early exam preparation support | Family engagement program,5
152,12,13,14,6,1,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
153,10,10,10,8,2,Average,Average,Medium,Remedial tutoring program,1
154,5,0,0,0,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Early exam preparation support,3
155,11,11,12,0,0,High Performer,Average,Medium,Study skills workshop,1
156,11,8,8,2,0,Average,At-Risk,Medium,Health & wellbeing referral,1
157,16,12,13,8,0,Average,Average,Medium,Study skills workshop,1
158,9,8,10,6,3,At-Risk,Average,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Wellness & substance awareness program | Family engagement program,4
159,17,15,15,2,0,Average,High,Medium,Study skills workshop,1
160,10,12,12,4,1,At-Risk,Average,High,Priority academic counseling | Wellness & substance awareness program,1
161,7,6,0,0,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Early exam preparation support,3
162,5,9,7,6,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Wellness & substance awareness program,2
163,7,0,0,0,1,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program | Early exam preparation support,3
164,10,10,10,2,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program | Health & wellbeing referral,3
